t,X_t
0.0,0.5
0.0005,0.5050820598345581
0.001,0.505891849556131
0.0015,0.5119719467305625
0.002,0.5239088117358063
0.0025,0.5240282911173396
0.003,0.5241475819341964
0.0035,0.536430894598601
0.004,0.5432379260301448
0.0045000000000000005,0.5417305012931328
0.005,0.5470157784579004
0.0055,0.5455395386224413
0.006,0.5440514796115032
0.006500000000000001,0.5473144831741102
0.007,0.5361115229049882
0.0075,0.5262001435104234
0.008,0.5241127037367977
0.0085,0.5190081442730706
0.009000000000000001,0.5228186591046811
0.0095,0.5184204017827039
0.01,0.5106503295350663
0.0105,0.522205574546571
0.011,0.5223855071434156
0.0115,0.5245325363437993
0.012,0.5166637036173614
0.0125,0.5147202140248734
0.013000000000000001,0.5171775048423061
0.0135,0.5111634614378545
0.014,0.5154058117083585
0.0145,0.513088090357363
0.015,0.5128486289720209
0.0155,0.5105301367372228
0.016,0.5246792711967854
0.0165,0.5262770308827286
0.017,0.5208659976924522
0.0175,0.5280816317122491
0.018000000000000002,0.521571759459266
0.0185,0.5246689296499847
0.019,0.5132113904944479
0.0195,0.5060186191419005
0.02,0.5090741579106597
0.0205,0.5157552569318276
0.021,0.5186154421672822
0.021500000000000002,0.5195431112991603
0.022,0.5192243885260702
0.0225,0.5110081005246855
0.023,0.5079017185238336
0.0235,0.5065419054127098
0.024,0.5153669421242323
0.0245,0.5193835863302836
0.025,0.5092582944610993
0.025500000000000002,0.5131591700829007
0.026000000000000002,0.5122930616898689
0.0265,0.5094713982111965
0.027,0.5153009690018875
0.0275,0.5239288716305951
0.028,0.5318662664088324
0.0285,0.5279069584533058
0.029,0.52751293138151
0.029500000000000002,0.5314163317062909
0.03,0.539631946535118
0.0305,0.5380684681621141
0.031,0.5384778587143487
0.0315,0.532710143444274
0.032,0.5263539701059236
0.0325,0.5334886740977008
0.033,0.5442528871055284
0.0335,0.5454091963069997
0.034,0.553777576648264
0.0345,0.5578190609120014
0.035,0.5550969183849463
0.035500000000000004,0.5591334915110435
0.036000000000000004,0.5710531207257608
0.0365,0.572385159547503
0.037,0.5844501453735259
0.0375,0.5684152356006913
0.038,0.5755076871236705
0.0385,0.5776528473913292
0.039,0.5772029129886095
0.0395,0.5793754557081426
0.04,0.567593999459833
0.0405,0.5677014106393323
0.041,0.571677741069294
0.0415,0.5831625613593733
0.042,0.5812279926396542
0.0425,0.5773513826917264
0.043000000000000003,0.5755421156620639
0.043500000000000004,0.583243964458696
0.044,0.5869911840341819
0.0445,0.5849699665919047
0.045,0.5899506442886598
0.0455,0.5921269836762321
0.046,0.6001445343517301
0.0465,0.5969346576906794
0.047,0.5962442965461144
0.0475,0.595123344349943
0.048,0.5868179792587367
0.0485,0.5903373695176872
0.049,0.5936127380973298
0.0495,0.595163008362044
0.05,0.595101442510518
0.0505,0.5871190933264746
0.051000000000000004,0.5858295209847963
0.051500000000000004,0.5850659483148448
0.052000000000000005,0.5812214439117104
0.0525,0.5816864528566772
0.053,0.5859426922711485
0.0535,0.6001307552203959
0.054,0.6028015319029106
0.0545,0.6060222286170165
0.055,0.6070077746605729
0.0555,0.5956187466118857
0.056,0.5969518392618017
0.0565,0.5988634961948289
0.057,0.6168902678800137
0.0575,0.6170576456299095
0.058,0.6205378425835117
0.0585,0.6217536443470122
0.059000000000000004,0.6153595296283597
0.059500000000000004,0.6244874193027684
0.06,0.6309703208813571
0.0605,0.6376992986970405
0.061,0.6330046939498782
0.0615,0.6438324125281129
0.062,0.635818928684591
0.0625,0.6411661384273256
0.063,0.6572572461242813
0.0635,0.6519693833374455
0.064,0.6495406192224151
0.0645,0.651585249353519
0.065,0.6495788688672752
0.0655,0.6405527551688462
0.066,0.6424113076981418
0.0665,0.6366791294789703
0.067,0.6412643862608618
0.0675,0.6364935400314872
0.068,0.6482995822522631
