t,sigma_t,S_t
0.0,0.04,100.0
0.0005,0.04066641196691161,99.70205109604525
0.001,0.04047837245492548,99.6410664681301
0.0015,0.04135180092628477,99.2898379462786
0.002,0.04342737299284643,99.15477154801715
0.0025,0.04309489993812883,98.28381035680415
0.003,0.04276420386424959,98.38505182040207
0.0035,0.04495077876443338,98.38953564168015
0.004,0.046034833936977645,98.01234249026909
0.0045000000000000005,0.045350069968891286,98.32625916703896
0.005,0.04611711864315922,98.76917477641335
0.0055,0.04544035276921147,98.01068731305531
0.006,0.04476621239178715,97.6582820466283
0.006500000000000001,0.045102485842030554,97.3068222890727
0.007,0.042369087995176864,96.8763927761927
0.0075,0.03998376762031107,97.2501221876927
0.008,0.03922955717032489,97.16973125477388
0.0085,0.03788500742934795,97.05978384633724
0.009000000000000001,0.038298489392534954,96.21716831052842
0.0095,0.03710899173895593,96.488556508721
0.01,0.03528828176285138,95.97735079140645
0.0105,0.03714228352910669,96.00535185620735
0.011,0.03685468030993239,96.12395063180229
0.0115,0.03694636194452382,96.689246910421
0.012,0.03511385334596395,96.14920193577446
0.0125,0.03443687737067296,94.93656302820975
0.013000000000000001,0.03458330439501894,95.01278623185834
0.0135,0.033155568434588896,95.72795768734612
0.014,0.0336247407272272,96.21468383787027
0.0145,0.032895465941612724,96.30124474505615
0.015,0.032551226499996415,96.11308462099451
0.0155,0.031834159342131324,96.42989049148166
0.016,0.03406337476084886,96.05920619661231
0.0165,0.034055569001406404,96.25189164909932
0.017,0.032755100775506106,96.45650481313238
0.0175,0.03376459982267592,96.87421773482275
0.018000000000000002,0.03226908942193724,97.97654094775388
0.0185,0.032532373701651525,98.13489550649771
0.019,0.030172490241263235,97.93737748126587
0.0195,0.028639588644691894,97.93156654066361
0.02,0.028880115019628394,97.27988589526309
0.0205,0.029738648424702935,97.0269664456392
0.021,0.029952283200906035,96.87771720829244
0.021500000000000002,0.029833090519814538,96.68510776491732
0.022,0.02949946458574045,96.74586701937783
0.0225,0.027811719413071995,96.44416164505994
0.023,0.027024699994078905,96.85119326308097
0.0235,0.026536182274254104,96.85514102938858
0.024,0.027711560715419793,96.85573409439169
0.0245,0.028113712124810068,96.74139259848678
0.025,0.02614851944132832,96.80155106590642
0.025500000000000002,0.02652084686931913,97.09422269899594
0.026000000000000002,0.02612038402920978,96.79151758348043
0.0265,0.025407307209412276,96.5651841910664
0.027,0.026083240634297688,96.46451055087492
0.0275,0.027221096025619652,95.99951607443946
0.028,0.028270981270903637,95.71320278712439
0.0285,0.027342008055743373,95.54566095095139
0.029,0.02701800751573559,95.8583813844532
0.029500000000000002,0.027402744118765292,95.95472227615623
0.03,0.02850494475534892,96.02731971072708
0.0305,0.02797948734085866,96.33963397222868
0.031,0.027789192776409816,96.29398730412264
0.0315,0.02657033475952517,96.43799260708934
0.032,0.025282469532371978,96.40556715032801
0.0325,0.026171214653620416,96.5003803810114
0.033,0.02766377801703774,96.30081053568128
0.0335,0.027601937962088638,95.43118866912705
0.034,0.02873896209603852,95.3874007877019
0.0345,0.029167110823872328,95.90566203185399
0.035,0.02844427700328303,96.24872333895962
0.035500000000000004,0.02887048183769499,96.60298901723543
0.036000000000000004,0.03064024884370848,97.06055125990761
0.0365,0.030612220535211697,97.0981150579955
0.037,0.032462709955256144,97.1769547192753
0.0375,0.029307674923029825,96.93902612115728
0.038,0.030267594409669515,96.82561353316478
0.0385,0.030383782643317342,97.06143077531507
0.039,0.03004857668625055,97.52075977733179
0.0395,0.030170206491961588,97.47194964470106
0.04,0.027869062960441827,97.30541738970275
0.0405,0.02764125550544714,97.30950137755384
0.041,0.02805807525473989,97.53088560351931
0.0415,0.029736639610363342,97.00733885874118
0.042,0.029152508053380717,96.15232104031239
0.0425,0.028242758352583597,95.95406582266607
0.043000000000000003,0.02769473705373874,95.51773919013424
0.043500000000000004,0.02873511469855987,95.34094598242966
0.044,0.029125847019950774,95.2913539308789
0.0445,0.028535666538826877,95.130344006133
0.045,0.029134489259184503,95.65606991031947
0.0455,0.029261942464582184,95.77918775707563
0.046,0.030389582829450826,95.89310062925209
0.0465,0.02958300710093711,96.12951493940349
0.047,0.02922057872051466,95.71232046602006
0.0475,0.028787116552315837,96.09630292469258
0.048,0.027138213950880233,96.07252476525012
